description,category
Blue cart with plastic bottles jammed and uncollected near Transit hub during weekend cleanup during heat wave.,recyclables
Solvent barrel with corrosive fluid knocked on its side near Campus edge during early morning after heavy rain.,hazardous
Produce pallet with spoiled fruit left in sun near City park during early morning following festival.,organic
Printer stack with lithium cells stacked without cover near Suburban cul-de-sac during midnight patrol after parade.,e-waste
Mattress heap with black bags blocking fire lane near Industrial park during evening rush during heat wave.,illegal_dumping
Sofa set with furniture encroaching roadway near Riverbank during noon inspection after parade.,bulk
Curbside tote with paper bundles overflowing onto sidewalk near Shopping arcade during holiday weekend following festival.,recyclables
Battery crate with corrosive fluid knocked on its side near Industrial park during noon inspection following festival.,hazardous
Compost bin with rotting scraps smelling strongly near Tech campus during midnight patrol after heavy rain.,organic
Monitor pile with lithium cells awaiting pickup near Suburban cul-de-sac during noon inspection during heat wave.,e-waste
Trash bag pile with household junk blocking fire lane near Shopping arcade during late afternoon following festival.,illegal_dumping
Carpet roll with metal frames leaning on hydrant near Suburban cul-de-sac during storm aftermath on foggy day.,bulk
Drop-off cage with plastic bottles strewn across curb near Community garden during early morning after parade.,recyclables
Battery crate with flammable mix leaking onto soil near Transit hub during noon inspection during heat wave.,hazardous
Yard bag stack with coffee grounds smelling strongly near Industrial park during evening rush during heat wave.,organic
Printer stack with lithium cells rusting outdoors near Campus edge during noon inspection during heat wave.,e-waste
Contractor debris with black bags tossed behind fence near Tech campus during early morning after parade.,illegal_dumping
Appliance stack with metal frames encroaching roadway near City park during late afternoon amid high winds.,bulk
Curbside tote with glass jars ignored by hauler near Industrial park during early morning during market day.,recyclables
Solvent barrel with flammable mix emitting fumes near Riverbank during midnight patrol amid high winds.,hazardous
Yard bag stack with rotting scraps blocking walkway near Harbor pier during evening rush following festival.,organic
Server rack with old laptops rusting outdoors near Transit hub during evening rush on foggy day.,e-waste
Contractor debris with demolition scraps tossed behind fence near City park during noon inspection amid high winds.,illegal_dumping
Sofa set with drywall sheets crushing plants near Transit hub during early morning during heat wave.,bulk
Blue cart with glass jars overflowing onto sidewalk near Tech campus during evening rush during heat wave.,recyclables
Solvent barrel with toxic sludge emitting fumes near Harbor pier during storm aftermath during heat wave.,hazardous
Food cart with coffee grounds blocking walkway near Suburban cul-de-sac during holiday weekend after heavy rain.,organic
Device crate with broken screens awaiting pickup near Downtown plaza during weekend cleanup following festival.,e-waste
Pickup truck load with mixed refuse tossed behind fence near Transit hub during late afternoon after heavy rain.,illegal_dumping
Sofa set with upholstery leaning on hydrant near Industrial park during holiday weekend during heat wave.,bulk
Curbside tote with cardboard flats contaminated with trash near Transit hub during holiday weekend after parade.,recyclables
Chemical tote with corrosive fluid leaking onto soil near Bike lane near station during storm aftermath on foggy day.,hazardous
Yard bag stack with coffee grounds drawing pests near Bike lane near station during late afternoon after heavy rain.,organic
Server rack with broken screens stacked without cover near Transit hub during weekend cleanup following festival.,e-waste
Mattress heap with black bags abandoned overnight near Industrial park during holiday weekend during heat wave.,illegal_dumping
Pallet mountain with upholstery obstructing sidewalk near Downtown plaza during early morning after heavy rain.,bulk
Sorting bay with glass jars contaminated with trash near Suburban cul-de-sac during weekend cleanup after parade.,recyclables
Oil drum with toxic sludge stored without label near Downtown plaza during storm aftermath on foggy day.,hazardous
Food cart with coffee grounds left in sun near Bike lane near station during holiday weekend during heat wave.,organic
Server rack with cables dumped beside alley near City park during early morning during market day.,e-waste
Pickup truck load with mixed refuse burned in pit near Suburban cul-de-sac during evening rush after heavy rain.,illegal_dumping
Appliance stack with furniture left for weeks near Riverbank during weekend cleanup amid high winds.,bulk
Curbside tote with aluminum cans ignored by hauler near City park during early morning following festival.,recyclables
Battery crate with lab waste knocked on its side near Harbor pier during noon inspection on foggy day.,hazardous
Food cart with spoiled fruit blocking walkway near Campus edge during evening rush during market day.,organic
Battery tote with motherboards dumped beside alley near Downtown plaza during holiday weekend following festival.,e-waste
Pickup truck load with demolition scraps abandoned overnight near Harbor pier during midnight patrol during heat wave.,illegal_dumping
Sofa set with metal frames crushing plants near Industrial park during evening rush amid high winds.,bulk
Curbside tote with cardboard flats overflowing onto sidewalk near Bike lane near station during midnight patrol during market day.,recyclables
Chemical tote with flammable mix leaking onto soil near Recreation center during late afternoon during market day.,hazardous
Food cart with leaf piles left in sun near Transit hub during noon inspection during heat wave.,organic
Printer stack with lithium cells awaiting pickup near Recreation center during early morning after heavy rain.,e-waste
Trash bag pile with mixed refuse tossed behind fence near Warehouse district during evening rush during market day.,illegal_dumping
Appliance stack with scrap lumber left for weeks near Shopping arcade during storm aftermath following festival.,bulk
Blue cart with plastic bottles strewn across curb near Harbor pier during early morning after parade.,recyclables
Solvent barrel with lab waste seeping toward drain near Campus edge during evening rush after heavy rain.,hazardous
Food cart with rotting scraps blocking walkway near Transit hub during weekend cleanup during market day.,organic
Server rack with old laptops mixed with trash near City park during evening rush during heat wave.,e-waste
Mattress heap with black bags tossed behind fence near Old Town during noon inspection after parade.,illegal_dumping
Appliance stack with drywall sheets leaning on hydrant near Tech campus during late afternoon amid high winds.,bulk
Neighborhood bin with aluminum cans strewn across curb near Community garden during holiday weekend on foggy day.,recyclables
Chemical tote with toxic sludge leaking onto soil near Bike lane near station during weekend cleanup amid high winds.,hazardous
Food cart with rotting scraps blocking walkway near Warehouse district during storm aftermath during market day.,organic
Monitor pile with broken screens awaiting pickup near Old Town during midnight patrol after heavy rain.,e-waste
Contractor debris with black bags blocking fire lane near Shopping arcade during noon inspection amid high winds.,illegal_dumping
Pallet mountain with upholstery leaning on hydrant near Industrial park during early morning during market day.,bulk
Blue cart with cardboard flats ignored by hauler near Bike lane near station during weekend cleanup on foggy day.,recyclables
Oil drum with flammable mix knocked on its side near Warehouse district during late afternoon during market day.,hazardous
Grocery dumpster with leaf piles mixed with litter near Warehouse district during storm aftermath during market day.,organic
Printer stack with cables stacked without cover near Campus edge during storm aftermath during market day.,e-waste
Contractor debris with demolition scraps blocking fire lane near Campus edge during early morning on foggy day.,illegal_dumping
Appliance stack with scrap lumber left for weeks near City park during noon inspection amid high winds.,bulk
Neighborhood bin with aluminum cans ignored by hauler near Suburban cul-de-sac during evening rush during market day.,recyclables
Paint bucket with lab waste knocked on its side near Warehouse district during late afternoon after parade.,hazardous
